Title,Text,Section
Special court rejects bail plea of Abdul Kadar in Cordelia drug raid case,"Opposing Abdul Kadar bail, special public prosecutor Amit Munde submitted that 2.5 grams of ecstasy and commercial quantity of 54.3 grams of mephedrone were seized from him. (File)

A special court on Wednesday rejected the bail application of Abdul Kadar, who was arrested in 2021 by the Narcotics Control Bureau (NCB) in the Cordelia drug raid case. Kadar and Nigerian national Chinedu Igwe continue to remain in custody while the others booked after a raid on the cruise on October 2, 2021, are out on bail.

On October 18 this year, the Bombay High Court had directed the special court to decide on the bail plea within a month. The NCB had arrested Kadar on the basis of the statement of a co-accused.",Cities
"Constable dismissed over affair with married woman, impregnating her","According to the police sources, Angule was posted in Sir J J hospital in 2019.

A police constable was dismissed from service for allegedly having an affair with a married woman and impregnating her.

Based on the complaint field by the woman, who later delivered a child, the department has taken action against Somnath Baburao Angule, while he was posted with the Tardeo local arms division, a senior police officer confirmed.",Cities
The Indian Express impact: Influencers in Punjab police asked to delete reels with emblem,"Such reels were in violation of earlier directions to the force against the unauthorized use of the police emblem on social media and modelling in uniform. (File)

Punjab police has asked all the SSPs and commissioners in state to ensure that all the reels of police officials with police emblems are deleted within next 24 hours.

Referring to the petitions CWP-PIL No. 187 of 2020 and CWP-PIL No. 188 of 2020 Titled as “NIKhil Saraf Vs. State of Punjab and others”, office of DIG State cyber crime issued a letter to all the district heads to compile with the order.",Cities
"TRB jawans relieved to make way for new recruits, says DGP; personnel step up protest","Amid rising protest, Director General of Police Vikas Sahay said Wednesday that the decision to relieve those who had served more than three years as Traffic Brigade (TRB) personnel was taken to make way for new people. It is not right to continue as a person on duty at one place for a long time, he added.

In reference to the November 19 notification to relieve the personnel who have been in service for more than three years, DGP Sahay told The Indian Express, “In our notification, we have clearly mentioned that those TRB Jawans who have been on duty for 10 years, 5 years and 3 years should be relieved in three stages. It is not correct administratively to let a person continue on duty for a long time at one place. Generally, in the police department, the cops serving in the traffic department get transferred in three years”.

According to the notification, those with 10 years of service will be relieved on November 30, while those with five years on December 31. Personnel with three years service will be relieved on March 31, 2024.

Advertisement

TRB jawans remain on road junctions and due to the pollution, it is not advisable as it affects their health conditions, the DGP added. “TRB is not an employment given for life-time but is contractual and they are hired on daily wages. We will fill the gap by recruiting new members as others should also be given a chance to work in the Traffic Brigade.”

Meanwhile, the protest by affected personnel reached the Surat Collectorate Wednesday where they handed over a memorandum to Surat Collector Ayush Oak demanding withdrawal of the notification and a wage hike from Rs 300 a day to Rs 450. The protesting personnel were accompanied by Congress leaders as they met Oak.

The personnel also plan to meet Minister of State for Home Harsh Sanghavi.

Calling the notification “unethical and unconstitutional”, the memorandum highlighted that the appointment of TRB was done as per the resolution passed by the state home department on May 21, 2015 and approved on April 6, 2018.

Advertisement

“We will fight for our rights as we have been relieved from duties without any suitable reason. We will stage dharna in the coming days with our family members, including children, and knock on the doors of the state government,” a TRB jawan from Surat said on the condition of anonymity.

The TRB jawans also sought common wages for all personnel across the state. A new uniform every two years, ID cards, compensation for jawans who die on duty and caps in place of helmets are the other demands.

Similar protests were witnessed in Valsad and Navsari on Wednesday.

Advertisement

“The government should think that we worked during the Covid pandemic on different duties allotted to us. We put our lives in danger and worked for the society, and now the government thinks that we are useless to them and wants to relieve us of duties,” Valsad TRB jawan Neema Naresh Das said.

Over 9,000 TRB personnel are deployed across the state to assist the traffic police, and according to the notification, over 1,100 personnel who have completed 10 years of service are still serving, while 3,000 have completed five years and 2,300 completed three years.",Cities
NewsClick Case: Delhi Police seeks details from US govt on 5 firms linked to Neville Roy Singham,"The Delhi Police’s Economic Offences Wing has sent letters rogatory (LR) to US authorities, asking them to provide “certain financial” details of five entities linked to US-based businessman Neville Roy Singham as online news portal NewsClick had received foreign direct investment of Rs 77 crore from them.

Investigations by the Enforcement Directorate, which raided NewsClick premises in February 2021, had revealed foreign remittances allegedly totalling over Rs 77 crore were received by the portal between 2018 and 2021.

Know more | A global web of Chinese propaganda leads to a US tech mogul

The remittances had come from companies such as Worldwide Media Holdings LLC, Delaware; Justice & Education Fund Inc; Tricontinental Ltd Inc, USA; G Span LLC, USA; and Centro Popular Demidas of Brazil. The ED has claimed these companies are linked to Singham, who it says, is “a contact person of CPC (Communist Party of China), China”.

Advertisement

On August 26, 2020, the EOW lodged an FIR under IPC Sections 406 (criminal breach of trust), 420 (cheating) and 120B (criminal conspiracy). It said that “M/s. PPK NewsClick Studio Pvt. Ltd”, had received foreign direct investment of Rs 9.59 crore from M/s.Worldwide Media Holdings LLC, USA, during the financial year 2018-19 which was made by “greatly overvaluing the shares of the company to avoid the alleged cap of 26% FDI in a digital news website”.

Among various things, the FIR said that the petitioner company, which owns the digital portal, had violated “FDI and other laws of the country and caused a loss to the exchequer”.

A source in the EOW told The Indian Express that they have sent LRs to the US for details on financial transactions from M/S Worldwide Media Holdings LLC, USA, Support Foundation, Justice and Education Fund, M/S GSPAN LLC, The Tricontinental Ltd to M/s. PPK NewsClick Studio Pvt. Ltd.

“In LR sent last month, the investigation officer has asked specific questions, including about the investors of the companies and their source,” a source said.

Advertisement

Another source said that the investigation team showed their questions to their seniors at Delhi Police headquarters and legal experts before sending the LR.

“So far, the investigation team has found that a company M/s Worldwide Media Holding LLC, USA was incorporated by Jason Pfetcher, a close associate of Singham with 100% equity of People Support Foundation (Jodie Evans, wife of Singham is a director) in November, 2017. They have received a reply from Pfetcher through emails,” the source said.

Seeking to quash an FIR registered by the EOW, NewsClick had on November 7 told the Delhi High Court that the entire case was malafide. Senior advocate Kapil Sibal, appearing for the company, had argued before a single-judge bench of Justice Saurabh Banerjee.

Advertisement

“What is the loss to the government exchequer here? I have brought in the money. I have paid salaries; these are all banking transactions and not non-banking. How is an offence under Sections 420 and 406 (IPC) made out? Who have I cheated and what is the breach of trust? The investor has given the money, but he has not filed any complaint. Nobody has said there is a breach of trust… It is a commercial transaction. Has the GOI given me any money which I have siphoned off? This is nothing but pure malafide,” Sibal had said.",Cities
"Rahul Gandhi not taken seriously by Congress, people: Fadnavis","Responding to the Congress leader’s remarks on Prime Minister Narendra Modi, Maharashtra’s Deputy Chief Minister Devendra Fadnavis on Wednesday said people don’t take Rahul Gandhi seriously. “Even the Congress does not take Rahul Gandhi seriously as its leader. Then why should I take him seriously,” Fadnavis said.

“The Prime Minister has given a corruption-free government. Those who are corrupt and indulging in unprincipled politics have reasons to fear Modi. But the common man has faith in Modi’s leadership and trusts him for his protection and welfare,” he said while addressing a BJP meet at Uttan in Mumbai’s suburbs.",Cities
Mother-child electrocution: Karnataka Lokayukta seeks report from BESCOM officials,"Karnataka Lokayukta B S Patil Wednesday took suo moto cognisance of the mother-child electrocution incident and sought a report from seven officials of the Bengaluru Electricity Supply Company Limited (BESCOM) before December 8.

On Sunday, Soundharya 23 and her nine-month-old daughter were electrocuted to death after stepping on a live electric wire near the Hope Farm Junction in Bengaluru.

Taking note of the accident, Patil issued a notice to seven officials, including the Additional Chief Secretary in the Energy Department and the Managing Director, Chief Engineer and Superintending Engineer of the BESCOM.

Advertisement

In his order, the Karnataka Lokayukta said, “…to exercise the power conferred on me under Sec. 7(1)(b) of the Karnataka Lokayukta Act, 1984. Accordingly, exercise my suo-motu power and the office is directed to register this proceeding as suo-motu proceeding.”

He also stated that it is necessary to implead the officers as parties or respondents to the proceedings and issue notice to them and call for comments from them.

“The officers/officials referred to above are given two weeks’ time to submit their report/comments i.e., on or before December 8, 2023,” the Lokayukta said in his order.

Posting the matter for December 8, Patil said, “A detailed report should also be obtained from the Superintendent of Police, City Division and Karnataka Lokayukta, Bengaluru, who should conduct spot inspections and carry out necessary investigations with regard to the incident and submit their reports by the next date of hearing.”

Advertisement

The incident caused a widespread uproar in the IT city with the BESCOM attracting wrath from the citizens. Following a detailed enquiry, BESCOM suspended two engineers and three other employees and has show-caused two other officers.

On Tuesday, Power Minister K J George said four separate investigations would be taken up to determine the cause of the incident that killed the mother and her child. George also stated that the findings of these reports would be used to prevent such accidents and also to initiate action against those responsible for the tragic incident.",Cities
Mumbai varsity granted status of category I of graded autonomy,"In an important development, the Mumbai University has been granted the status of category I of graded autonomy as per the Grant of Graded Autonomy Regulation, 2018 of the University Grants Commission (UGC).

With this new status, the university will now have the liberty of taking various decisions such as setting up of sub-campuses, research parks and incubation centres, starting new departments or bringing new courses including starting online ones, hiring foreign faculty and deciding fee-structures, including those for foreign students, without the UGC approval, which was a mandate until now.

The Mumbai University made the announcement Wednesday. After having received the highest grade of National Assessments and Accreditation Council (NAAC) among state’s public universities with a score of 3.65 in the last cycle, this is a new feather in its cap.

Advertisement

Some other private and deemed institutions from the state already have this status, including Savitribai Phule Pune University (SPPU) which is a public university.

Vice Chancellor of Mumbai University Prof. Ravindra Kulkarni, said, “This category-I status has given the University academic freedom and through this a new avenue of educational opportunities will be opened. This new status will enable the university to take a major step towards internationalization of higher education in the context of the implementation of the National Education Policy (NEP) 2020.”

“Along with education, research and innovation, many activities such as skill-based education, new courses, online courses, creation of campuses can now be started in the university. Especially, due to this status, there will be a great contribution to the empowerment of distance and open learning institutes.”

Apart from academic liberty at various levels, the new status will allow the university to engage in collaborations with foreign educational institutions which are featured in top 500 ranks of recognised world-university rankings.

Advertisement

It will also be able to hire foreign faculty too on contract or tenure basis, upto twenty percent over and above of their total sanctioned faculty strength.

What is category I of graded autonomy status?

As per UGC’s Categorisation of Universities for Grant of Graded Autonomy Regulations, 2018, this new status is brought after recognising the need to create an enabling environment to support Higher Education Institutions (HEIs) to become institutions of global excellence.

“UGC recognizes that autonomy is pivotal to promoting and institutionalizing excellence in higher education and that the regulatory framework needs to facilitate better performing institutions towards excellence in higher education,” states the gazette notification issued by the ministry of human resource development in the year 2018.",Cities
"Got new glasses, will be able to see things clearly: Pankaja Munde","Got new glasses, will be able to see things clearly: Pankaja Munde

Got new glasses, will be able to see things clearly: Pankaja Munde

BJP national secretary Pankaja Munde, in a video uploaded on social media, said that she has got a new pair of glasses and will now be able to see nearby things clearly.

In the video, Pankaja is seen sporting a spectacle and singing a song — Tumchya Taila chasma lagla — which is translated to “your sister has got a glasses”.",Cities
Karnataka CM Siddaramaiah launches action plan to contain anaemia,"Under Phase 1, adolescents from government, government-aided and private pre-university colleges will be screened by December.

Chief Minister Siddaramaiah on Wednesday launched the Anaemia Mukta Poushtika Karnataka Action Plan, under which the nutritional status of mothers and children will be improved through interventions.

“In this programme, the government aims to reach 52 lakh children in the age group of 6-59 months, 58 lakh children between 5-9 years, 127 lakh adolescents of age 10-19 years, 12 lakh pregnant women, 11 lakh lactating mothers and 133 lakh women in reproductive age group of 20-49 years excluding pregnant women and lactating mothers,” the health department said in a release.",Cities
